crime_count_500m,violent_count_500m,PIN
266,14,1890000162
227,19,7452500180
65,1,5015000500
59,2,3126049351
8,0,5338200006
0,0,5452800810
220,22,0952006717
0,0,2333270050
14,0,3505100335
25,0,1870400580
52,5,7905200072
0,0,4189800080
18,0,3327500040
19,0,2545700010
118,3,4400200060
190,14,9126101235
130,4,2919200625
130,4,2919200625
34,6,2824049043
52,5,6896300355
52,5,6896300355
0,0,7694210230
0,0,1721801875
5,1,0429000025
26,3,3959401380
10,0,0871001335
73,3,7750500475
87,4,1861100234
42,2,9274202430
0,0,3840700466
19,0,3702900150
199,22,6145600321
20,1,1781500120
164,11,2767602490
0,0,7694210090
101,16,7883605660
0,0,3840700464
234,21,7234601443
155,31,3083000640
94,7,8902500120
28,4,7170200171
294,27,9826700451
220,22,3126049480
296,27,9826700452
28,1,6412100024
8,2,7936500129
29,2,5101406020
36,2,4363700303
32,4,1102000158
117,7,9521100388
84,3,6762700595
317,7,5457801600
10,1,2069600120
0,0,8151600591
303,28,4310701323
177,18,9834201329
209,19,1250200595
39,2,7972601945
72,5,5347200176
68,3,0925049254
245,25,0993002101
35,5,2113701105
19,0,3693900695
109,7,2767602072
105,13,2605200015
32,6,5499700040
69,0,9550200550
47,3,7892100165
98,5,0809002650
37,0,2771603130
67,3,1232001415
48,3,3226049188
114,5,2770601912
77,3,7972603745
95,11,6413600201
77,4,2770602245
16,1,9285800140
15,0,2487200965
205,3,1928300840
46,0,3856903775
24,1,7410200301
4,1,1118000540
850,44,2926049418
282,26,9826700709
69,6,9274202780
52,3,6021501700
36,0,5653100015
88,3,2771602430
284,13,1972202915
22,1,7410200269
21,2,1826049277
72,4,6450303905
0,0,1801700040
8,0,1070000350
25,1,5318100620
80,13,1895000200
108,5,1794501005
35,0,6600000311
46,0,5101405082
8,0,3992700827
1,0,1223049113
149,13,4343800040
149,6,2767602630
22,3,7549801445
31,2,9822700360
8,0,9322800140
46,5,8813400390
0,0,6326000325
84,7,3052700125
18,0,2824600185
69,2,5101400508
195,12,6430000170
100,8,6411600115
0,0,2798000080
30,1,1681400070
77,8,1862400466
25,1,3332000460
0,0,3574800650
2,0,0003800008
78,5,2767600245
266,8,1972202022
3,0,5035300305
35,5,6414600222
31,1,5101405244
49,1,6788200826
107,4,3797000365
50,5,3010301084
19,1,4319200460
48,2,1139000336
86,4,9209900385
229,31,6145601825
0,0,7774200165
199,21,8822901254
31,1,2771602854
286,26,9826700450
28,1,2568800051
0,0,5459000180
0,0,6620400205
0,0,3351400815
288,4,5457801655
1,0,9282800155
167,19,7129304091
44,0,7454000320
6,0,0868000455
83,9,0475000950
57,1,4232900170
52,0,1525039060
89,4,1861100236
24,1,7410200320
42,6,2112700375
10,0,1377800045
14,0,8165501400
48,3,2652500595
37,0,5363200129
13,1,3959401765
59,9,1166000100
0,0,0795000620
11,0,4217401030
15,2,2976800710
0,0,2333270080
40,3,2409500405
99,13,8685500190
94,9,1393800030
50,3,8127700630
158,2,1175000949
23,1,0269000345
88,5,2464400290
149,20,8121100365
18,3,3438501532
64,5,9178600375
124,21,7883604675
32,5,6632900830
84,4,7625703019
70,2,2770602215
0,0,3760500266
62,3,2719100315
80,2,2767600210
63,2,7011200543
8,0,9571800065
10,0,1118000165
31,5,3290800250
188,13,1160000115
34,2,6056100411
235,24,0993001420
15,0,3024049149
0,0,3574800550
941,106,6003501080
0,0,3358500788
135,3,4086300100
45,1,7625701595
74,3,6166900015
47,4,6909700450
36,1,4385701345
86,8,8724900140
0,0,3211210090
624,44,2254501320
94,16,2724049185
0,0,1137610040
74,3,2771101988
19,3,3438502066
108,8,4305700125
230,20,7452500620
35,0,4443800790
34,5,4287400015
99,5,2767900010
90,4,9209900295
25,5,1753700120
14,0,2939600005
61,6,7518506275
0,0,3622900060
80,4,5016000325
0,0,3025300045
28,1,1566100230
37,6,3670500300
4,0,9277200180
4,0,4219400455
0,0,5631500400
0,0,7773800060
44,0,1176000245
44,0,0439000155
43,1,5100402758
40,0,4443801080
0,0,0623059025
64,2,7986400845
45,3,6909200135
73,2,4232902195
0,0,6883800025
117,20,6056110300
6,0,0223039267
21,0,8815401170
105,18,7883604339
20,5,8901000070
171,4,2264500936
47,6,2113700300
108,4,3362400341
90,7,1139000067
16,0,8815400071
9,0,5249804300
159,2,1175000952
19,0,9345400010
32,2,7920100010
0,0,7657000560
5,0,3626039306
124,14,8608900175
0,0,2174502625
97,9,7518501740
128,15,1703400675
56,0,1972205527
84,7,8724900050
120,10,9188200801
21,1,2114700040
25,4,1773100175
55,3,6021502695
24,4,2489200335
35,0,0037000295
16,0,9822700485
0,0,2296700680
8,0,0723000345
7,0,8098400240
323,10,3131201425
0,0,3626500096
71,8,3052700532
24,1,5039300150
85,3,2771602445
54,2,8911000052
8,0,5418200355
0,0,5459000140
24,1,7129301115
315,22,2767603700
121,14,3300700843
0,0,9388100041
61,1,1176001235
0,0,5631500369
38,3,3083000050
333,6,4092302131
4,0,6329000037
22,0,0037000009
240,22,7234601452
27,1,3278606160
6,0,2056100145
50,4,0369000090
36,0,9212900590
27,0,7129302235
66,6,0125039076
0,0,0795000660
31,3,0925049162
67,14,3881900181
148,15,6362900117
74,2,2810600070
10,0,0930000452
69,9,3524049101
24,2,2815600015
22,4,1121000343
20,0,6908200090
143,13,7228501260
58,12,6371000092
58,12,6371000089
62,5,2856100095
0,0,4141010360
175,17,6840700315
36,2,2313900405
58,3,1704900170
157,17,3126049460
108,5,8129700490
0,0,3744600100
55,3,4083302055
61,7,2267000120
14,1,7936000460
44,2,0461004990
4,0,6329000170
6,0,5210200285
0,0,2303900085
18,0,6821101395
65,2,3188100425
21,0,5316100305
134,13,7831800460
4,0,7812800195
92,10,4006000021
129,7,6716700135
31,0,1342300210
0,0,3361401540
0,0,3379200110
0,0,0798000246
8,1,6383000410
103,3,5191100190
62,15,1498300725
63,16,1498300725
29,2,6056100117
45,3,9284802855
9,0,2483200220
39,2,0342000170
78,2,9376300700
5,0,6132600270
131,10,2768300690
0,0,1826049309
0,0,2524049262
32,0,0037000160
0,0,0623049186
10,0,3013300145
9,0,2594200205
66,2,5220300170
36,2,5220300170
0,0,5000500010
67,2,8911000195
50,3,1705400345
37,0,0034001036
80,4,0925049184
8,0,7772800280
44,4,6632900831
45,2,3226049573
43,1,1623800255
3,0,7211400590
176,19,6362900116
35,4,1826049519
84,7,8724900060
0,0,2540850170
1,0,8961800270
44,0,1952200200
32,0,3856900865
72,0,2331300006
48,5,0013001001
84,7,8724900100
34,4,2112700835
0,0,5454000130
51,5,3010301083
4,0,6329000270
10,0,5418500250
55,2,6150200195
290,30,9826701197
0,0,0923049519
73,9,6382500046
58,2,9218400060
112,4,6145602159
110,2,5344200005
130,5,2767601390
34,3,0001800075
7,0,2346800480
39,4,3083000015
0,0,5451210180
150,25,3336001585
64,7,1025049120
0,0,4045000085
42,6,5499700050
42,6,5499700050
95,2,2767601325
20,0,2726049197
0,0,4141010200
0,0,3579800015
0,0,3534900081
15,0,6844703640
218,18,7452500165
17,0,1102001159
59,4,6450304035
16,3,2976800720
11,0,5249804309
27,6,1773600180
29,0,4317700052
92,0,2207500375
197,31,1604601571
28,5,5364200045
72,1,2568300252
32,1,1566100196
121,3,9550205080
15,1,0431500290
245,26,0993001556
65,2,6933600210
25,0,7409700565
131,21,7883604930
125,3,9828200745
255,15,4232400706
132,12,9188201242
16,2,0148000526
66,4,1232001525
85,5,2767600244
42,5,3959401145
0,0,7689600525
186,12,4468400296
82,3,2770601446
53,0,5244801555
46,3,3438501322
67,2,7626200180
67,2,7626200180
0,0,7694200220
18,0,4077800329
0,0,0723049330
0,0,0723049330
72,5,0117000160
113,1,2902200365
114,1,2902200365
0,0,9286800084
22,0,5316100660
37,3,7129300485
37,3,3678900210
37,1,0705000120
74,4,2426039180
25,1,7308900400
0,0,6632900539
22,1,8819900449
84,8,7663700460
61,1,7129300595
9,0,1455100022
11,0,2487200535
6,0,6392003645
150,6,9828702313
0,0,3537900160
14,0,4077800191
136,10,1972200327
0,0,1973900390
69,3,6130600035
69,3,6130600035
47,1,2979800340
74,4,9294300765
32,2,2114700575
60,0,7151700390
257,12,0955000374
67,4,0923000339
0,0,0723049636
234,26,1250200475
42,1,3435500065
0,0,0733000200
291,32,9826701198
178,23,9325800035
85,3,2771601335
17,1,5249801565
131,7,5693501030
0,0,1270000150
26,1,3226049514
64,7,2267000284
83,6,8724900090
0,0,1828300090
79,5,2044500067
142,11,6865200415
88,9,0452001955
